iter	Passed	Remaining
0	1	111
1	2	109
2	3	103
3	4	104
4	5	110
5	6	108
6	7	104
7	8	99
8	9	95
9	10	91
10	10	88
11	11	86
12	12	83
13	13	82
14	14	80
15	14	78
16	15	76
17	16	74
18	17	73
19	18	72
20	19	73
21	20	73
22	21	71
23	22	70
24	23	69
25	24	68
26	24	67
27	25	65
28	26	64
29	27	63
30	27	62
31	28	61
32	29	60
33	30	59
34	31	57
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	31
63	55	31
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
